Author	Number of poems	Number of words	Number of tokens
ALL: 49	13362	2716032	3441864
Ady, Endre	1116	121526	155500
Amade, László	154	23994	31534
Ányos, Pál	88	22253	27607
Arany, János	417	276092	359327
Arany, László	6	18490	24283
Babits, Mihály	514	95758	119599
Bajza, József	97	10816	13590
Balassi, Bálint	107	21474	27539
Batsányi, János	62	17508	22687
Berzsenyi, Dániel	136	20763	25388
Bessenyei, György	40	14664	18789
Bornemisza, Péter	8	8373	10401
Csokonai Vitéz, Mihály	394	125421	156537
Dayka, Gábor	29	11622	14512
Dsida, Jenő	1060	119440	148642
Eötvös, József	33	5118	6399
Faludi, Ferenc	46	7507	9824
Fazekas, Mihály	75	19061	23606
Földi, János	46	4600	6328
Garay, János	97	34246	43109
Gyulai, Pál	156	32525	42249
József, Attila	599	64717	81193
Juhász, Gyula	1278	113222	139575
Kaffka, Margit	102	22329	30755
Karinthy, Frigyes	87	29652	34026
Katona, József	24	4376	5368
Kazinczy, Ferenc	58	9987	12822
Kisfaludy, Károly	123	24001	29863
Kisfaludy, Sándor	9	53687	69271
Komjáthy, Jenő	246	47908	61878
Kosztolányi, Dezső	630	85026	109462
Kölcsey, Ferenc	150	18868	23523
Madách, Imre	319	67287	84083
Móricz, Zsigmond	35	5973	7647
Petőfi, Sándor	839	148466	188551
Petrőczy, Kata Szidónia	43	7914	10163
Radnóti, Miklós	298	35646	42561
Reményik, Sándor	667	82309	106108
Reviczky, Gyula	335	50485	66147
Somlyó, Zoltán	379	66672	83481
Szenci Molnár, Albert	150	36948	46074
Szentjóbi Szabó, László	62	11345	13038
Tinódi, Sebestyén	22	47188	58783
Tompa, Mihály	491	172565	222117
Tóth, Árpád	451	60147	76448
Vajda, János	199	95260	121955
Verseghy, Ferenc	192	72367	92266
Virág, Benedek	211	25135	32162
Vörösmarty, Mihály	662	210244	261317
Zrínyi, Miklós	20	35057	43777
